Operation,Time
allocateInputData,0.0017209574208691067
readDataFromFile,0.32572931093163765
allocateOutputData,0.003345480236245778
SubmissionCopyToDevice,0.0003232871137068248
ExecutionCopyToDevice,0.00033238222575823946
SubmissionMakeClusters,0.00018713910928029552
ExecutionMakeClusters,0.008136548178845012
SubmissionCopyToHost,0.0008922663341800592
ExecutionCopyToHost,0.0009139529285228848
writeDataToFile,1.1680300936001404
freeInputData,0.0038338319154020734
freeOutputData,0.002268163782544031
